Pallet: "pallet_sudo", Extrinsic: "sudo", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
3145710,61000,6000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,57000,7000,1,4,0,2
3145710,58000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,55000,7000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,53000,7000,1,4,0,2
3145710,59000,7000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,47000,5000,1,4,0,2
3145710,46000,5000,1,4,0,2
3145710,45000,5000,1,4,0,2
3145710,53000,6000,1,4,0,2
3145710,66000,7000,1,4,0,2
3145710,49000,6000,1,4,0,2
3145710,55000,5000,1,4,0,2
3145710,56000,7000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,47000,5000,1,4,0,2
3250567,58000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,71000,9000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,55000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,56000,7000,1,4,0,2
3250567,56000,6000,1,4,0,2
3250567,54000,6000,1,4,0,2
3250567,54000,6000,1,4,0,2
3250567,46000,5000,1,4,0,2
3250567,52000,7000,1,4,0,2
3250567,55000,7000,1,4,0,2
3250567,50000,5000,1,4,0,2
3250567,53000,5000,1,4,0,2
3355424,49000,6000,1,4,0,2
3355424,50000,6000,1,4,0,2
3355424,46000,5000,1,4,0,2
3355424,46000,5000,1,4,0,2
3355424,52000,6000,1,4,0,2
3355424,63000,12000,1,4,0,2
3355424,57000,8000,1,4,0,2
3355424,50000,6000,1,4,0,2
3355424,47000,5000,1,4,0,2
3355424,48000,5000,1,4,0,2
3355424,57000,7000,1,4,0,2
3355424,54000,7000,1,4,0,2
3355424,47000,5000,1,4,0,2
3355424,48000,5000,1,4,0,2
3355424,45000,4000,1,4,0,2
3355424,46000,5000,1,4,0,2
3355424,115000,6000,1,4,0,2
3355424,52000,6000,1,4,0,2
3355424,56000,6000,1,4,0,2
3355424,53000,6000,1,4,0,2
3460281,56000,7000,1,4,0,2
3460281,59000,7000,1,4,0,2
3460281,57000,6000,1,4,0,2
3460281,53000,7000,1,4,0,2
3460281,46000,5000,1,4,0,2
3460281,45000,5000,1,4,0,2
3460281,46000,4000,1,4,0,2
3460281,54000,6000,1,4,0,2
3460281,50000,6000,1,4,0,2
3460281,54000,6000,1,4,0,2
3460281,49000,6000,1,4,0,2
3460281,56000,7000,1,4,0,2
3460281,48000,5000,1,4,0,2
3460281,47000,5000,1,4,0,2
3460281,49000,5000,1,4,0,2
3460281,48000,5000,1,4,0,2
3460281,77000,6000,1,4,0,2
3460281,49000,5000,1,4,0,2
3460281,60000,8000,1,4,0,2
3460281,61000,7000,1,4,0,2
3565138,62000,8000,1,4,0,2
3565138,58000,7000,1,4,0,2
3565138,56000,7000,1,4,0,2
3565138,60000,7000,1,4,0,2
3565138,55000,6000,1,4,0,2
3565138,52000,6000,1,4,0,2
3565138,53000,6000,1,4,0,2
3565138,55000,7000,1,4,0,2
3565138,52000,6000,1,4,0,2
3565138,48000,5000,1,4,0,2
3565138,60000,8000,1,4,0,2
3565138,54000,6000,1,4,0,2
3565138,47000,5000,1,4,0,2
3565138,48000,4000,1,4,0,2
3565138,47000,5000,1,4,0,2
3565138,48000,5000,1,4,0,2
3565138,64000,8000,1,4,0,2
3565138,57000,6000,1,4,0,2
